Local Date,Local Time,Close,Net,%Chg,Open,Low,High
20-Jul-2023,15:15,"7,896.48",+0.34,+0.00%,"7,896.23","7,893.05","7,901.59"
20-Jul-2023,15:10,"7,896.14",-9.50,-0.12%,"7,904.18","7,896.14","7,905.68"
20-Jul-2023,15:05,"7,905.64",-2.40,-0.03%,"7,908.36","7,905.64","7,916.29"
20-Jul-2023,15:00,"7,908.04",-3.47,-0.04%,"7,913.94","7,908.04","7,914.93"
20-Jul-2023,14:55,"7,911.51",-4.36,-0.06%,"7,916.07","7,909.91","7,919.41"
20-Jul-2023,14:50,"7,915.87",+4.05,+0.05%,"7,912.80","7,912.80","7,921.72"
20-Jul-2023,14:45,"7,911.82",-10.00,-0.13%,"7,918.95","7,911.82","7,922.95"
20-Jul-2023,14:40,"7,921.82",+2.54,+0.03%,"7,919.82","7,918.52","7,923.47"
20-Jul-2023,14:35,"7,919.28",+2.99,+0.04%,"7,916.65","7,916.65","7,923.51"
20-Jul-2023,14:30,"7,916.29",-13.11,-0.17%,"7,929.26","7,916.29","7,929.26"
20-Jul-2023,14:25,"7,929.40",-7.50,-0.09%,"7,935.48","7,928.29","7,935.48"
20-Jul-2023,14:20,"7,936.90",-12.99,-0.16%,"7,948.21","7,936.90","7,949.97"
20-Jul-2023,14:15,"7,949.89",-6.17,-0.08%,"7,954.06","7,949.53","7,954.06"
20-Jul-2023,14:10,"7,956.06",+3.91,+0.05%,"7,951.61","7,951.14","7,957.82"
20-Jul-2023,14:05,"7,952.15",-10.38,-0.13%,"7,961.15","7,950.03","7,961.15"
20-Jul-2023,14:00,"7,962.53",-3.85,-0.05%,"7,965.92","7,960.72","7,965.92"
20-Jul-2023,13:55,"7,966.38",-1.08,-0.01%,"7,966.69","7,966.26","7,972.80"
20-Jul-2023,13:50,"7,967.46",+6.94,+0.09%,"7,961.74","7,961.74","7,968.76"
20-Jul-2023,13:45,"7,960.52",-2.50,-0.03%,"7,960.78","7,959.80","7,963.26"
20-Jul-2023,13:40,"7,963.02",-7.91,-0.10%,"7,972.60","7,963.02","7,972.87"
20-Jul-2023,13:35,"7,970.93",+2.49,+0.03%,"7,969.20","7,966.12","7,972.88"
20-Jul-2023,13:30,"7,968.44",+12.21,+0.15%,"7,956.80","7,956.56","7,968.44"
20-Jul-2023,13:25,"7,956.23",-7.31,-0.09%,"7,963.73","7,956.23","7,964.80"
20-Jul-2023,13:20,"7,963.54",-6.25,-0.08%,"7,969.24","7,961.19","7,969.49"
20-Jul-2023,13:15,"7,969.79",+7.83,+0.10%,"7,960.72","7,959.41","7,970.20"
20-Jul-2023,13:10,"7,961.96",-3.55,-0.04%,"7,965.69","7,961.96","7,967.43"
20-Jul-2023,13:05,"7,965.51",+1.04,+0.01%,"7,964.14","7,960.90","7,965.65"
20-Jul-2023,13:00,"7,964.47",-8.39,-0.11%,"7,972.27","7,964.47","7,974.06"
20-Jul-2023,12:55,"7,972.86",+6.31,+0.08%,"7,967.89","7,967.89","7,974.61"
20-Jul-2023,12:50,"7,966.55",-6.64,-0.08%,"7,973.70","7,964.21","7,973.70"
20-Jul-2023,12:45,"7,973.19",+9.61,+0.12%,"7,965.01","7,965.01","7,973.83"
20-Jul-2023,12:40,"7,963.58",+0.86,+0.01%,"7,959.52","7,959.38","7,966.56"
20-Jul-2023,12:35,"7,962.72",-7.38,-0.09%,"7,968.80","7,962.72","7,972.74"
20-Jul-2023,12:30,"7,970.10",-3.34,-0.04%,"7,976.01","7,970.10","7,979.84"
20-Jul-2023,12:25,"7,973.44",-19.88,-0.25%,"7,990.01","7,973.44","7,991.65"
20-Jul-2023,12:20,"7,993.32",-13.04,-0.16%,"8,006.41","7,993.32","8,010.83"
20-Jul-2023,12:15,"8,006.36",+7.87,+0.10%,"7,998.80","7,996.55","8,006.97"
20-Jul-2023,12:10,"7,998.49",+1.66,+0.02%,"7,997.17","7,996.12","8,000.71"
20-Jul-2023,12:05,"7,996.83",+5.82,+0.07%,"7,989.62","7,986.13","7,996.83"
20-Jul-2023,12:00,"7,991.01",-4.47,-0.06%,"7,993.93","7,987.43","7,993.93"
20-Jul-2023,11:55,"7,995.48",-2.86,-0.04%,"7,995.22","7,991.21","8,000.82"
20-Jul-2023,11:50,"7,998.34",-7.26,-0.09%,"8,006.65","7,996.31","8,006.65"
20-Jul-2023,11:45,"8,005.60",-4.62,-0.06%,"8,008.90","8,000.37","8,008.90"
20-Jul-2023,11:40,"8,010.22",+13.24,+0.17%,"7,999.17","7,999.17","8,010.22"
20-Jul-2023,11:35,"7,996.98",+8.51,+0.11%,"7,989.54","7,989.28","8,002.43"
